ad_number	applicability
2025-03-02	This AD applies to Airbus Helicopters AS332C, AS332C1, AS332L, AS332L1, AS332L2, AS355E, AS355F, AS355F1, AS355F2, AS355N, AS355NP, AS-365N2, AS 365 N3, EC 155B, EC155B1, EC225LP, SA-365N, and SA- 365N1 helicopters, certificated in any category, with a collective pitch handle installed on a pilot or
2024-20-04	This AD applies to all helicopters, certificated in any category, with a restraint system with a Pacific Scientific Company rotary buckle assembly (buckle) part number (P/N) 1111475 (all dash numbers) or P/N 1111548-01 having a date of manufacture (DOM) between January 2012 and April 2013 inclusive,
2024-17-06	This AD applies to all BAE Systems (Operations) Limited airplanes identified in paragraphs (c)(1) and (2) of this AD, certificated in any category. (1) Model BAe 146-100A, -200A, and -300A airplanes. (2) Model Avro 146-RJ70A, -RJ85A, and -RJ100A airplanes.
2024-17-06	This AD applies to all BAE Systems (Operations) Limited airplanes identified in paragraphs (c)(1) and (2) of this AD, certificated in any category. (1) Model BAe 146-100A, -200A, and -300A airplanes. (2) Model Avro 146-RJ70A, -RJ85A, and -RJ100A airplanes.
2024-14-03	This AD applies to all airplane models specified in Table 1 to paragraph (c) of this AD, certificated in any category, having a Garmin GFC 500 Autopilot System that includes an optional GSA 28 pitch trim servo installed per Supplemental Type Certificate No. SA01866WI using Master Drawing List 005-01
2024-10-14	This AD applies to Rolls-Royce Deutschland Ltd & Co KG Trent 1000-A, Trent 1000-AE, Trent 1000-C, Trent 1000-CE, Trent 1000-D, Trent 1000-E, Trent 1000-G, and Trent 1000-H engines.
2024-08-03	This AD applies to Britten-Norman Aircraft Ltd airplanes, all serial numbers, certificated in any category, identified in paragraphs (c)(1) and (2) of this AD. (1) Model BN-2, BN-2A, BN-2A-2, BN-2A-3, BN-2A-6, BN-2A-8, BN- 2A-9, BN-2A-20, BN-2A-21, BN-2A-26, BN-2A-27, BN-2B-20, BN-2B-21, BN-2B-26, B
2024-08-03	This AD applies to Britten-Norman Aircraft Ltd airplanes, all serial numbers, certificated in any category, identified in paragraphs (c)(1) and (2) of this AD. (1) Model BN-2, BN-2A, BN-2A-2, BN-2A-3, BN-2A-6, BN-2A-8, BN- 2A-9, BN-2A-20, BN-2A-21, BN-2A-26, BN-2A-27, BN-2B-20, BN-2B-21, BN-2B-26, B
2024-06-09	This AD applies to the following CFM International, S.A. Model engines: (1) CFM56-2, CFM56-2A, CFM56-2B, CFM56-3, CFM56-3B, and CFM56-3C engines; (2) CFM56-5, CFM56-5-A1/F, CFM56-5A3, CFM56-5A4, CFM56-5A4/F, CFM56-5A5, and CFM56-5A5/F engines; (3) CFM56-5B1, CFM56-5B1/2P, CFM56-5B1/3, CFM56-5B1/P, C
2024-01-11	This AD applies to all helicopters, certified in any category, with a restraint system with a Pacific Scientific Company rotary buckle assembly (buckle) part number (P/N) 1111475 (all dash numbers) or P/N 1111548-01 installed having a date of manufacture between January 2012 and September 2012 inclu
2024-01-02	This AD applies to the airplanes identified in paragraphs (c)(1) through (3) of this AD. (1) All Lockheed Martin Corporation/Lockheed Martin Aeronautics Company Model 382, 382B, 382E, 382F, and 382G airplanes, certificated in any category. (2) All Lockheed Martin Corporation/Lockheed Martin Aeronaut
2024-01-02	This AD applies to the airplanes identified in paragraphs (c)(1) through (3) of this AD. (1) All Lockheed Martin Corporation/Lockheed Martin Aeronautics Company Model 382, 382B, 382E, 382F, and 382G airplanes, certificated in any category. (2) All Lockheed Martin Corporation/Lockheed Martin Aeronaut
2024-01-02	This AD applies to the airplanes identified in paragraphs (c)(1) through (3) of this AD. (1) All Lockheed Martin Corporation/Lockheed Martin Aeronautics Company Model 382, 382B, 382E, 382F, and 382G airplanes, certificated in any category. (2) All Lockheed Martin Corporation/Lockheed Martin Aeronaut
2024-01-02	This AD applies to the airplanes identified in paragraphs (c)(1) through (3) of this AD. (1) All Lockheed Martin Corporation/Lockheed Martin Aeronautics Company Model 382, 382B, 382E, 382F, and 382G airplanes, certificated in any category. (2) All Lockheed Martin Corporation/Lockheed Martin Aeronaut
2024-01-02	This AD applies to the airplanes identified in paragraphs (c)(1) through (3) of this AD. (1) All Lockheed Martin Corporation/Lockheed Martin Aeronautics Company Model 382, 382B, 382E, 382F, and 382G airplanes, certificated in any category. (2) All Lockheed Martin Corporation/Lockheed Martin Aeronaut
2024-01-02	This AD applies to the airplanes identified in paragraphs (c)(1) through (3) of this AD. (1) All Lockheed Martin Corporation/Lockheed Martin Aeronautics Company Model 382, 382B, 382E, 382F, and 382G airplanes, certificated in any category. (2) All Lockheed Martin Corporation/Lockheed Martin Aeronaut
2024-01-02	This AD applies to the airplanes identified in paragraphs (c)(1) through (3) of this AD. (1) All Lockheed Martin Corporation/Lockheed Martin Aeronautics Company Model 382, 382B, 382E, 382F, and 382G airplanes, certificated in any category. (2) All Lockheed Martin Corporation/Lockheed Martin Aeronaut
2023-22-06	This AD applies to the airplanes identified in paragraphs (c)(1) and (2) of this AD. (1) All Lockheed Martin Corporation/Lockheed Martin Aeronautics Company Model 382, 382B, 382E, 382F, and 382G airplanes, certificated in any category.  (2) All airplanes specified in paragraphs (c)(2)(i) through (xi
2023-22-06	This AD applies to the airplanes identified in paragraphs (c)(1) and (2) of this AD. (1) All Lockheed Martin Corporation/Lockheed Martin Aeronautics Company Model 382, 382B, 382E, 382F, and 382G airplanes, certificated in any category.  (2) All airplanes specified in paragraphs (c)(2)(i) through (xi
2023-22-06	This AD applies to the airplanes identified in paragraphs (c)(1) and (2) of this AD. (1) All Lockheed Martin Corporation/Lockheed Martin Aeronautics Company Model 382, 382B, 382E, 382F, and 382G airplanes, certificated in any category.  (2) All airplanes specified in paragraphs (c)(2)(i) through (xi
2023-22-06	This AD applies to the airplanes identified in paragraphs (c)(1) and (2) of this AD. (1) All Lockheed Martin Corporation/Lockheed Martin Aeronautics Company Model 382, 382B, 382E, 382F, and 382G airplanes, certificated in any category.  (2) All airplanes specified in paragraphs (c)(2)(i) through (xi
2023-22-06	This AD applies to the airplanes identified in paragraphs (c)(1) and (2) of this AD. (1) All Lockheed Martin Corporation/Lockheed Martin Aeronautics Company Model 382, 382B, 382E, 382F, and 382G airplanes, certificated in any category.  (2) All airplanes specified in paragraphs (c)(2)(i) through (xi
2023-22-06	This AD applies to the airplanes identified in paragraphs (c)(1) and (2) of this AD. (1) All Lockheed Martin Corporation/Lockheed Martin Aeronautics Company Model 382, 382B, 382E, 382F, and 382G airplanes, certificated in any category.  (2) All airplanes specified in paragraphs (c)(2)(i) through (xi
2023-21-05	This AD applies to Thales AVS France SAS flight management computer navigation modules (FMC2 NAVM), part number (P/N) C13084CA03, installed on, but not limited to airplanes, certificated in any category.
2023-17-09	(1) This AD applies to hot air balloons, certificated in any category, equipped with a Cameron Balloons Ltd. fuel cylinder part number (P/N) CB2990/A (the affected fuel cylinder). (2) The affected fuel cylinder may be installed on hot air balloon models including, but not limited to, those of the fo
2023-14-10	(1) This AD applies to: (i) Ipeco Holdings Limited (Ipeco) pilot and co-pilot seats with a part number (P/N) listed in Paragraph 1.A., Planning Information, Tables 1 and 2, of Ipeco Service Bulletin (SB) Number 063-25-14, Revision 00, dated August 14, 2018, and (ii) Ipeco pilot seat P/N 3A063-0099-0
2023-12-25	This AD applies to Survitec Group Limited (RFD Beaufort Ltd.) life jackets identified in paragraphs (c)(1) and (2) of this AD, having a part number and serial number identified in tables 2 through 13 of Survitec [RFD] Alert Service Bulletin 25-207-A, Version 1, dated November 24, 2021, and a date of
2023-11-10	This AD applies to all airplanes specified in paragraphs (c)(1) through (2) of this AD, certificated in any category. (1) Lockheed Martin Corporation/Lockheed Martin Aeronautics Company Model 382, 382B, 382E, 382F, 382G, and 382J airplanes. (2) The airplanes specified in paragraphs (c)(2)(i) through
2023-11-10	This AD applies to all airplanes specified in paragraphs (c)(1) through (2) of this AD, certificated in any category. (1) Lockheed Martin Corporation/Lockheed Martin Aeronautics Company Model 382, 382B, 382E, 382F, 382G, and 382J airplanes. (2) The airplanes specified in paragraphs (c)(2)(i) through
2023-11-10	This AD applies to all airplanes specified in paragraphs (c)(1) through (2) of this AD, certificated in any category. (1) Lockheed Martin Corporation/Lockheed Martin Aeronautics Company Model 382, 382B, 382E, 382F, 382G, and 382J airplanes. (2) The airplanes specified in paragraphs (c)(2)(i) through
2023-11-10	This AD applies to all airplanes specified in paragraphs (c)(1) through (2) of this AD, certificated in any category. (1) Lockheed Martin Corporation/Lockheed Martin Aeronautics Company Model 382, 382B, 382E, 382F, 382G, and 382J airplanes. (2) The airplanes specified in paragraphs (c)(2)(i) through
2023-11-10	This AD applies to all airplanes specified in paragraphs (c)(1) through (2) of this AD, certificated in any category. (1) Lockheed Martin Corporation/Lockheed Martin Aeronautics Company Model 382, 382B, 382E, 382F, 382G, and 382J airplanes. (2) The airplanes specified in paragraphs (c)(2)(i) through
2023-11-10	This AD applies to all airplanes specified in paragraphs (c)(1) through (2) of this AD, certificated in any category. (1) Lockheed Martin Corporation/Lockheed Martin Aeronautics Company Model 382, 382B, 382E, 382F, 382G, and 382J airplanes. (2) The airplanes specified in paragraphs (c)(2)(i) through
2023-11-07	This AD applies to all helicopters, certificated in any category, equipped with a radio (also known as radar) altimeter. These radio altimeters are installed on various helicopter models including, but not limited to, the helicopters for which the design approval holder is identified in paragraphs (
2023-12-11	This AD applies to all The Boeing Company 737-8, 737-9, and 737- 8200 airplanes, certificated in any category.
2023-09-09	(1) For purposes of this AD, a ``v-band coupling'' means a spot- welded, multi-segment v-band coupling installed at the tailpipe to turbocharger exhaust housing flange. (2) For purposes of this AD, ``new'' means zero hours time-in- service (TIS).
2023-10-02	This AD applies to all transport and commuter category airplanes equipped with a radio (also known as radar) altimeter. These radio altimeters are installed on various transport and commuter category airplanes including, but not limited to, the airplanes for which the design approval holder is ident
2023-09-06	This AD applies to CFM International, S.A. (CFM) LEAP-1A23, LEAP-1A24, LEAP-1A24E1, LEAP-1A26, LEAP-1A26CJ, LEAP-1A26E1, LEAP- 1A29, LEAP-1A29CJ, LEAP-1A30, LEAP-1A32, LEAP-1A33, LEAP-1A33B2, and LEAP-1A35A model turbofan engines.
2023-08-07	This AD applies to the following Allied Ag Cat Productions, Inc. airplanes, all serial numbers, certificated in any category. (1) Model G-164A airplanes with Supplemental Type Certificate (STC) No. SA7769SW, SA7966SW, or SA8720SW installed. (2) Model G-164B airplanes with STC No. SA7546SW, SA7966SW,
2023-08-07	This AD applies to the following Allied Ag Cat Productions, Inc. airplanes, all serial numbers, certificated in any category. (1) Model G-164A airplanes with Supplemental Type Certificate (STC) No. SA7769SW, SA7966SW, or SA8720SW installed. (2) Model G-164B airplanes with STC No. SA7546SW, SA7966SW,
2023-09-13	This AD applies to all airplanes specified in paragraphs (c)(1) and (2) of this AD, certificated in any category. (1) Lockheed Martin Corporation/Lockheed Martin Aeronautics Company Model 382, 382B, 382E, 382F, and 382G airplanes. (2) The airplanes specified in paragraphs (c)(2)(i) through (x) of th
2023-09-13	This AD applies to all airplanes specified in paragraphs (c)(1) and (2) of this AD, certificated in any category. (1) Lockheed Martin Corporation/Lockheed Martin Aeronautics Company Model 382, 382B, 382E, 382F, and 382G airplanes. (2) The airplanes specified in paragraphs (c)(2)(i) through (x) of th
2023-09-13	This AD applies to all airplanes specified in paragraphs (c)(1) and (2) of this AD, certificated in any category. (1) Lockheed Martin Corporation/Lockheed Martin Aeronautics Company Model 382, 382B, 382E, 382F, and 382G airplanes. (2) The airplanes specified in paragraphs (c)(2)(i) through (x) of th
2023-09-13	This AD applies to all airplanes specified in paragraphs (c)(1) and (2) of this AD, certificated in any category. (1) Lockheed Martin Corporation/Lockheed Martin Aeronautics Company Model 382, 382B, 382E, 382F, and 382G airplanes. (2) The airplanes specified in paragraphs (c)(2)(i) through (x) of th
2023-09-13	This AD applies to all airplanes specified in paragraphs (c)(1) and (2) of this AD, certificated in any category. (1) Lockheed Martin Corporation/Lockheed Martin Aeronautics Company Model 382, 382B, 382E, 382F, and 382G airplanes. (2) The airplanes specified in paragraphs (c)(2)(i) through (x) of th
2023-09-13	This AD applies to all airplanes specified in paragraphs (c)(1) and (2) of this AD, certificated in any category. (1) Lockheed Martin Corporation/Lockheed Martin Aeronautics Company Model 382, 382B, 382E, 382F, and 382G airplanes. (2) The airplanes specified in paragraphs (c)(2)(i) through (x) of th
2023-07-07	This AD applies to MHI RJ Aviation ULC airplanes, certificated in any category, and identified in paragraphs (c)(1) through (4) of this AD. (1) Model CL-600-2B19 (Regional Jet Series 100 & 440) airplanes, serial numbers 7002 through 7990 inclusive, and 8000 through 8113 inclusive. (2) Model CL-600-2
2023-07-07	This AD applies to MHI RJ Aviation ULC airplanes, certificated in any category, and identified in paragraphs (c)(1) through (4) of this AD. (1) Model CL-600-2B19 (Regional Jet Series 100 & 440) airplanes, serial numbers 7002 through 7990 inclusive, and 8000 through 8113 inclusive. (2) Model CL-600-2
2023-07-07	This AD applies to MHI RJ Aviation ULC airplanes, certificated in any category, and identified in paragraphs (c)(1) through (4) of this AD. (1) Model CL-600-2B19 (Regional Jet Series 100 & 440) airplanes, serial numbers 7002 through 7990 inclusive, and 8000 through 8113 inclusive. (2) Model CL-600-2
2023-07-07	This AD applies to MHI RJ Aviation ULC airplanes, certificated in any category, and identified in paragraphs (c)(1) through (4) of this AD. (1) Model CL-600-2B19 (Regional Jet Series 100 & 440) airplanes, serial numbers 7002 through 7990 inclusive, and 8000 through 8113 inclusive. (2) Model CL-600-2
2023-07-07	This AD applies to MHI RJ Aviation ULC airplanes, certificated in any category, and identified in paragraphs (c)(1) through (4) of this AD. (1) Model CL-600-2B19 (Regional Jet Series 100 & 440) airplanes, serial numbers 7002 through 7990 inclusive, and 8000 through 8113 inclusive. (2) Model CL-600-2
2023-06-14	This AD applies to: (1) Pratt & Whitney Canada Corporation (P&WC) PW308A model turbofan engines with build specification (BS) BS935 and BS1249, serial numbers PCE-CE0180 and prior; and (2) P&WC PW308C model turbofan engines with BS1047 and BS1238, serial numbers PCE-CF0967 and prior.
2023-06-06	This AD applies to all MHI RJ Aviation ULC airplanes, certificated in any category, identified in paragraphs (c)(1) through (5) of this AD. (1) Model CL-600-2C10 (Regional Jet Series 700, 701 & 702) airplanes. (2) Model CL-600-2C11 (Regional Jet Series 550) airplanes. (3) Model CL-600-2D15 (Regional
2023-06-06	This AD applies to all MHI RJ Aviation ULC airplanes, certificated in any category, identified in paragraphs (c)(1) through (5) of this AD. (1) Model CL-600-2C10 (Regional Jet Series 700, 701 & 702) airplanes. (2) Model CL-600-2C11 (Regional Jet Series 550) airplanes. (3) Model CL-600-2D15 (Regional
2023-06-06	This AD applies to all MHI RJ Aviation ULC airplanes, certificated in any category, identified in paragraphs (c)(1) through (5) of this AD. (1) Model CL-600-2C10 (Regional Jet Series 700, 701 & 702) airplanes. (2) Model CL-600-2C11 (Regional Jet Series 550) airplanes. (3) Model CL-600-2D15 (Regional
2023-06-06	This AD applies to all MHI RJ Aviation ULC airplanes, certificated in any category, identified in paragraphs (c)(1) through (5) of this AD. (1) Model CL-600-2C10 (Regional Jet Series 700, 701 & 702) airplanes. (2) Model CL-600-2C11 (Regional Jet Series 550) airplanes. (3) Model CL-600-2D15 (Regional
2023-06-06	This AD applies to all MHI RJ Aviation ULC airplanes, certificated in any category, identified in paragraphs (c)(1) through (5) of this AD. (1) Model CL-600-2C10 (Regional Jet Series 700, 701 & 702) airplanes. (2) Model CL-600-2C11 (Regional Jet Series 550) airplanes. (3) Model CL-600-2D15 (Regional
2023-05-17	This AD applies to General Electric Company (GE) GE90-76B, GE90- 85B, GE90-90B, and GE90-94B model turbofan engines, excluding those engines with an installed full set of high-pressure turbine (HPT) stage 2 nozzles with part numbers 1847M47G23 and 1847M47G24.
2023-06-06	This AD applies to MHI RJ Aviation ULC airplanes, certificated in any category, identified in paragraphs (c)(1) through (5) of this AD. (1) Model CL-600-2C10 (Regional Jet Series 700, 701 & 702) airplanes. (2) Model CL-600-2C11 (Regional Jet Series 550) airplanes. (3) Model CL-600-2D15 (Regional Jet
2023-06-06	This AD applies to MHI RJ Aviation ULC airplanes, certificated in any category, identified in paragraphs (c)(1) through (5) of this AD. (1) Model CL-600-2C10 (Regional Jet Series 700, 701 & 702) airplanes. (2) Model CL-600-2C11 (Regional Jet Series 550) airplanes. (3) Model CL-600-2D15 (Regional Jet
2023-06-06	This AD applies to MHI RJ Aviation ULC airplanes, certificated in any category, identified in paragraphs (c)(1) through (5) of this AD. (1) Model CL-600-2C10 (Regional Jet Series 700, 701 & 702) airplanes. (2) Model CL-600-2C11 (Regional Jet Series 550) airplanes. (3) Model CL-600-2D15 (Regional Jet
2023-06-06	This AD applies to MHI RJ Aviation ULC airplanes, certificated in any category, identified in paragraphs (c)(1) through (5) of this AD. (1) Model CL-600-2C10 (Regional Jet Series 700, 701 & 702) airplanes. (2) Model CL-600-2C11 (Regional Jet Series 550) airplanes. (3) Model CL-600-2D15 (Regional Jet
2023-06-06	This AD applies to MHI RJ Aviation ULC airplanes, certificated in any category, identified in paragraphs (c)(1) through (5) of this AD. (1) Model CL-600-2C10 (Regional Jet Series 700, 701 & 702) airplanes. (2) Model CL-600-2C11 (Regional Jet Series 550) airplanes. (3) Model CL-600-2D15 (Regional Jet
2023-04-11	This AD applies to General Electric Company (GE) CF6-45A, CF6- 45A2, CF6-50A, CF6-50C, CF6-50CA, CF6-50C1, CF6-50C2, CF6-50C2B, CF6-50C2D, CF6-50E, CF6-50E1, CF6-50E2, and CF6-50E2B model turbofan engines, including engines marked on the engine data plate as CF6- 50C2-F and CF6-50C2-R, with an insta
2023-05-16	This AD applies to Continental Aerospace Technologies, Inc. (Continental) GTSIO-520-C, -D, -H, -K, -L, -M, -N, and -S; IO-360-A, -AB, -AF, -C, -CB, -D, -DB, -E, -ES, -G, -GB, -H, -HB, -J, -JB, -K, and -KB; IO-470-A, -C, -D, -E, -F, -G, -H, -J, -K, -L, -LO, -M, -N, -P, -R, -S, -T, -U, -V, and -VO; IO
2023-04-19	This AD applies to General Electric Company (GE) GE90-110B1 and GE90-115B model turbofan engines with an installed high-pressure compressor (HPC) rotor stage 7-9 spool with part number (P/N) 2032M23G01, P/N 2032M23G02, P/N 2676M00G01, or P/N 2676M00G02, and a serial number listed in paragraph 4., Ap
2023-04-14	This AD applies to Rolls-Royce Deutschland Ltd. & Co KG (RRD) Trent XWB-75, Trent XWB-79, Trent XWB-79B, Trent XWB-84, and Trent XWB-97 model turbofan engines as identified in European Union Aviation Safety Agency (EASA) AD 2022-0129, dated June 30, 2022. (EASA AD 2022-0129).
2023-04-20	Cirrus Design Corporation (Cirrus) Model SF50 airplanes, all serial numbers, certificated in any category.
2023-03-12	This AD applies to Pratt & Whitney Canada Corp. JT15D-1, JT15D- 1A, and JT15D-1B model turbofan engines as identified in Transport Canada AD CF-2022-27, dated May 19, 2022 (Transport Canada AD CF- 2022-27).
2023-04-08	Continental Aerospace Technologies, Inc. (Continental) GTSIO- 520-C, -D, -H, -K, -L, -M, -N, and -S; IO-360-A, -AB, -AF, -C, -CB, -D, -DB, -E, -ES, -G, -GB, -H, -HB, -J, -JB, -K, and -KB; IO-470-D, -E, -G, -H, -J, -K, -L, -M, -N, -P, -R, -S, -T, -U, -V, and -VO; IO- 520-A, -B, -BA, -BB, -C, -CB, -D,
2023-01-07	This AD applies to GE Aviation Czech s.r.o. (Type Certificate previously held by WALTER Engines a.s., Walter a.s., and MOTORLET a.s.) H75-100, H75-200, H80, H80-100, H80-200, H85-100, and H85-200 model turboprop engines.
2023-03-02	This AD applies to Pratt & Whitney Canada Corp. (P&WC) PT6E-67XP model turboprop engines with serial number HP0194 and earlier, as identified in Transport Canada AD CF-2022-26, dated May 12, 2022 (Transport Canada AD CF-2022-26).
2023-02-05	This AD applies to General Electric Company (GE) CF34-8C1, CF34- 8C5, CF34-8C5A1, CF34-8C5B1, CF34-8C5A2, CF34-8C5A3, CF34-8E2, CF34- 8E2A1, CF34-8E5, CF34-8E5A1, CF34-8E5A2, CF34-8E6, and CF34-8E6A1 model turbofan engines, including engine models marked on engine data plate as CF34-8C5/B, CF34-8C5/
2023-01-10	This AD applies to GE Aviation Czech s.r.o. (GEAC) M601E-11, M601E-11A, M601E-11AS, M601E-11S, and M601F model turboprop engines, with an installed compressor case part number (P/N) M601-154.51, which includes compressor cases identified as, or recorded in the engine logbook as P/N M601-154.6; or wi
2023-01-07	This AD applies to GE Aviation Czech s.r.o. (Type Certificate previously held by WALTER Engines a.s., Walter a.s., and MOTORLET a.s.) H75-100, H75-200, H80, H80-100, H80-200, H85-100, and H85-200 model turboprop engines.
2023-01-08	This AD applies to Continental Aerospace Technologies GmbH (Type Certificate previously held by Technify Motors GmbH and Thielert Aircraft Engines GmbH) TAE 125-02-99 and TAE 125-02-114 model reciprocating engines with an engine serial number (S/N) identified in Models Affected, Continental Aerospac
2023-02-12	This AD applies to Continental Aerospace Technologies, Inc. (Continental) GTSIO-520, IO-470, IO-520, IO-550, IOF-550, LIO-470, LIO-520, LTSIO-520, O-470, TSIO-470, TSIO-520, TSIO-550, TSIOF-550, and TSIOL-550 model reciprocating engines listed in the Application Table, page 1, of Superior Air Parts,
2023-02-04	Mooney International Corporation Model M20C, M20D, M20E, M20F, and M20G airplanes, all serial numbers up to 680170 inclusive, certificated in any category.
2023-01-12	This AD applies to all Safran Helicopter Engines, S.A. (Type Certificate previously held by Turbomeca, S.A.) Arriel 1C, Arriel 1C1, and Arriel 1C2 model turboshaft engines.
2023-01-11	This AD applies to all Safran Helicopter Engines, S.A. (Type Certificate previously held by Turbomeca, S.A.) Makila 1A and Makila 1A1 model turboshaft engines.
2023-01-07	This AD applies to GE Aviation Czech s.r.o. (Type Certificate previously held by WALTER Engines a.s., Walter a.s., and MOTORLET a.s.) H75-100, H75-200, H80, H80-100, H80-200, H85-100, and H85-200 model turboprop engines.
2022-26-05	This AD applies to Rolls-Royce Deutschland Ltd & Co KG TAY 620- 15 and TAY 650-15 model turbofan engines.
